Date,Open,High,Low,Close,Adj Close,Volume
6/18/2019,43750,44500,43650,44350,40299.75391,7994928
6/19/2019,45450,45450,45000,45350,41208.43359,10417690
6/20/2019,44850,45500,44850,45500,41344.73828,7147785
6/21/2019,45750,45800,45200,45700,41526.47266,9454913
6/24/2019,45200,45800,45200,45500,41344.73828,6085066
6/25/2019,45200,45800,45200,45600,41435.60156,7076774
6/26/2019,45800,46000,45600,45700,41526.47266,9226097
6/27/2019,46000,46600,45750,46500,42583.26563,12603534
6/28/2019,47000,47000,46700,47000,43041.14844,12949231
7/1/2019,47350,47400,46250,46600,42674.83594,11383522
7/2/2019,46200,46900,45850,46250,42354.32031,8463073
7/3/2019,45750,46350,45200,45400,41575.91797,9669368
7/4/2019,45250,46200,45250,46000,42125.375,6365573
7/5/2019,45950,45950,45250,45650,41804.85938,7235395
7/8/2019,44750,44800,44350,44400,40660.14844,7823843
7/9/2019,44850,45450,44700,45100,41301.1875,7646421
7/10/2019,45550,46150,45500,45550,41713.28125,9253930
7/11/2019,46350,46550,46150,46200,42308.53125,10989751
7/12/2019,46350,46400,45800,46300,42400.11328,5245804
7/15/2019,45950,46650,45750,46450,42537.47266,4717226
7/16/2019,46450,46850,46300,46850,42903.78125,7407824
7/17/2019,46150,46350,45950,46050,42171.16797,5216602
7/18/2019,46450,46450,45650,46100,42216.96094,5143554
7/19/2019,46650,46950,46600,46800,42857.99219,8819393
7/22/2019,46800,47300,46600,47200,43224.30469,9009109
7/23/2019,47350,47550,47050,47300,43315.88281,9061381
7/24/2019,47100,47150,46250,46400,42491.69141,8756522
7/25/2019,47150,47200,46600,47200,43224.30469,8408838
7/26/2019,46650,47150,46550,47150,43178.51563,7873886
7/29/2019,46800,47050,46000,46100,42216.96094,6856846
7/30/2019,46300,46850,46300,46550,42629.05078,5551014
7/31/2019,46200,46600,45000,45350,41530.13281,12872916
8/1/2019,44900,45500,44850,45200,41392.76563,7811181
8/2/2019,44550,45500,44300,44950,41163.82031,12151374
8/5/2019,44350,44600,43600,43950,40248.05859,14214086
8/6/2019,42500,43800,42500,43500,39835.95313,15083824
8/7/2019,43600,43900,43100,43200,39561.22266,10002533
8/8/2019,43250,43500,42650,42650,39057.54688,16926881
8/9/2019,43250,43350,43050,43150,39515.4375,9685147
8/12/2019,44000,44000,43550,43700,40019.10938,8466169
8/13/2019,43500,43500,42950,43000,39378.07422,7276979
8/14/2019,43900,44250,43500,43700,40019.10938,8750135
8/16/2019,43800,43900,43300,43900,40202.26563,9528115
8/19/2019,44350,44350,43500,43600,39927.52734,6014218
8/20/2019,43950,44600,43550,44450,40705.93359,8434205
8/21/2019,44350,44800,44150,44500,40751.72656,6571717
8/22/2019,44500,44700,43850,44050,40339.62891,8061177
8/23/2019,43800,44200,43650,43950,40248.05859,5017381
8/26/2019,43050,43800,42950,43600,39927.52734,7954949
8/27/2019,43650,44200,43600,44050,40339.62891,16883932
8/28/2019,44100,44400,43750,44150,40431.20703,5758333
8/29/2019,44200,44200,43050,43400,39744.375,10768862
8/30/2019,43750,44300,43750,44000,40293.83984,9899073
9/2/2019,44850,44850,43650,43800,40110.68359,7185537
9/3/2019,43550,43650,43100,43250,39607.01172,9774941
9/4/2019,43250,44100,43150,44100,40385.41406,12441837
9/5/2019,44800,46100,44450,45700,41850.65234,18297430
9/6/2019,46500,46500,45850,46300,42400.11328,9896562
9/9/2019,46450,47000,46300,46900,42949.56641,9434157
9/10/2019,47100,47200,46550,47000,43041.14844,9231792
9/11/2019,47300,47400,46800,47150,43178.51563,16141619
9/16/2019,47000,47100,46400,47100,43132.72656,15550926
9/17/2019,47000,47100,46800,46900,42949.56641,7006280
9/18/2019,46900,47700,46800,47700,43682.18359,10413027
9/19/2019,48050,49200,47850,49150,45010.04688,16461413
9/20/2019,49400,49600,49100,49200,45055.83984,15460210
9/23/2019,49250,49300,49000,49300,45147.41406,7568553
9/24/2019,49050,49650,48850,49500,45330.57422,7871955
9/25/2019,49200,49350,48800,48900,44781.10156,9187141
9/26/2019,49000,49250,48900,49200,45055.83984,8494756
9/27/2019,48000,48700,48000,48400,44644.45313,8048041
9/30/2019,48050,49250,47900,49050,45244.01563,9497119
10/1/2019,48900,49100,48650,48850,45059.53516,6206035
